,album_name,img_url
213,Hazy,https://musicmeta-phinf.pstatic.net/album/001/518/1518125.jpg?type=r360Fll&v=20161115194618
214,Mystery of Love,https://musicmeta-phinf.pstatic.net/album/002/289/2289201.jpg?type=r360Fll&v=20180417023041
215,Learn To Love,https://musicmeta-phinf.pstatic.net/album/002/336/2336014.jpg?type=r360Fll&v=20180122162308
216,Fifty Shades Freed (Original Motion Picture Soundtrack),None
217,Faded Love (Feat. Future),https://musicmeta-phinf.pstatic.net/album/002/345/2345151.jpg?type=r360Fll&v=20180428103502
218,Okinawa,https://musicmeta-phinf.pstatic.net/album/002/345/2345437.jpg?type=r360Fll&v=20200310204209
219,Freudian,https://musicmeta-phinf.pstatic.net/album/002/065/2065106.jpg?type=r360Fll&v=20200307060213
220,Reverie,https://musicmeta-phinf.pstatic.net/album/002/422/2422161.jpg?type=r360Fll&v=20180428111610
221,H.O.L.Y.,https://musicmeta-phinf.pstatic.net/album/002/422/2422871.jpg?type=r360Fll&v=20180416233044
222,Holding On,https://musicmeta-phinf.pstatic.net/album/002/440/2440296.jpg?type=r360Fll&v=20180615155920
223,Love Me / Love Me Not,https://musicmeta-phinf.pstatic.net/album/002/440/2440250.jpg?type=r360Fll&v=20200218150707
224,Lover Boy,https://musicmeta-phinf.pstatic.net/album/002/440/2440420.jpg?type=r360Fll&v=20200110162250
225,Sweet Coffee (Feat. Bassette),https://musicmeta-phinf.pstatic.net/album/002/442/2442573.jpg?type=r360Fll&v=20180406120021
226,Geography,https://musicmeta-phinf.pstatic.net/album/002/442/2442749.jpg?type=r360Fll&v=20200218155208
227,Under the Surface,https://musicmeta-phinf.pstatic.net/album/002/445/2445254.jpg?type=r360Fll&v=20191108121503
228,Raye,https://musicmeta-phinf.pstatic.net/album/003/770/3770396.jpg?type=r360Fll&v=20200415214711
229,Bad Contestant,https://musicmeta-phinf.pstatic.net/album/002/352/2352721.jpg?type=r360Fll&v=20180608120906
230,Youngblood (Deluxe),https://musicmeta-phinf.pstatic.net/album/003/109/3109722.jpg?type=r360Fll&v=20200219135213
231,sad girl,https://musicmeta-phinf.pstatic.net/album/002/447/2447553.jpg?type=r360Fll&v=20180420204837
232,A Song For Every Moon,https://musicmeta-phinf.pstatic.net/album/002/447/2447599.jpg?type=r360Fll&v=20200218152210
233,South,https://musicmeta-phinf.pstatic.net/album/000/127/127077.jpg?type=r360Fll&v=20100527220605
234,Brooklyn In The Summer,https://musicmeta-phinf.pstatic.net/album/003/075/3075763.jpg?type=r360Fll&v=20200219124711
235,Indigo,https://musicmeta-phinf.pstatic.net/album/000/002/2881.jpg?type=r360Fll&v=20191212152856
236,Sugar,https://musicmeta-phinf.pstatic.net/album/000/431/431366.jpg?type=r360Fll&v=20190402182244
237,Speechless,https://musicmeta-phinf.pstatic.net/album/000/002/2724.jpg?type=r360Fll&v=20180618163717
